image_index,dataset_index,codec,quality,file_bytes,file_bpp,mse,psnr_db,ssim,lossless
129,30014,jpeg,95,895,6.9921875,2.943359375,43.44237069529109,0.9971375619518013,False
129,30014,webp,1,110,0.859375,225.0302734375,24.6083941296793,0.810340800998483,False
129,30014,webp,5,130,1.015625,170.15625,25.822324550960225,0.8628055173183643,False
129,30014,webp,10,144,1.125,123.517578125,27.213515932361908,0.9099920556755997,False
129,30014,webp,20,174,1.359375,77.9765625,29.211162749272937,0.9334092747011373,False
129,30014,webp,35,208,1.625,51.5068359375,31.0121548885745,0.9583737298243172,False
129,30014,webp,50,246,1.921875,37.1005859375,32.43699592292931,0.9663152822295284,False
129,30014,webp,75,302,2.359375,21.04296875,34.89973350633805,0.9822612112280776,False
129,30014,webp,90,482,3.765625,4.7822265625,41.33450213489504,0.9956175874214216,False
129,30014,webp,95,606,4.734375,1.9921875,45.13750150081823,0.998309085673136,False
130,48237,raw,,1024,8.0,0.0,,1.0,True
130,48237,zlib,,898,7.015625,0.0,,1.0,True
130,48237,png,,820,6.40625,0.0,,1.0,True
130,48237,jpeg,1,347,2.7109375,542.3310546875,20.788158873687053,0.3694955915865003,False
130,48237,jpeg,5,359,2.8046875,288.6796875,23.52664134372073,0.5801653086838612,False
130,48237,jpeg,10,377,2.9453125,173.5322265625,25.73700221691412,0.7101425669958931,False
130,48237,jpeg,20,412,3.21875,105.1318359375,27.913461122197248,0.8300266736998512,False
130,48237,jpeg,35,452,3.53125,65.625,29.960110444538973,0.8784647408627091,False
130,48237,jpeg,50,478,3.734375,49.935546875,31.146705504025476,0.9061145761072085,False
130,48237,jpeg,75,558,4.359375,31.6865234375,33.12205768718797,0.9411182822314124,False
130,48237,jpeg,90,712,5.5625,9.7509765625,38.24032248301001,0.9821896823786972,False
130,48237,jpeg,95,857,6.6953125,3.3251953125,42.912632012589185,0.9932487500441264,False
130,48237,webp,1,94,0.734375,180.4267578125,25.567794157519156,0.7021145658064099,False
130,48237,webp,5,110,0.859375,124.642578125,27.17413937437035,0.7979309307698196,False
130,48237,webp,10,124,0.96875,102.0078125,28.044469264029622,0.8293271185563854,False
130,48237,webp,20,148,1.15625,71.962890625,29.559717609849308,0.869624705767602,False
130,48237,webp,35,188,1.46875,46.77734375,31.430448040931587,0.9184981272478,False
130,48237,webp,50,218,1.703125,30.482421875,33.290308914692645,0.9508783869848328,False
130,48237,webp,75,268,2.09375,17.9677734375,35.585860981005666,0.9715135929516213,False
130,48237,webp,90,446,3.484375,4.001953125,42.10808363442546,0.993793455307894,False
130,48237,webp,95,566,4.421875,2.0810546875,44.94796867793521,0.9965567627229223,False
131,4823,raw,,1024,8.0,0.0,,1.0,True
131,4823,zlib,,1035,8.0859375,0.0,,1.0,True
131,4823,png,,887,6.9296875,0.0,,1.0,True
131,4823,jpeg,1,357,2.7890625,787.740234375,19.166973329423282,0.5388628455096462,False
