variant,threshold,file_bpp,psnr_db,mse,ssim,omitted_fraction,omitted_error_rate,range_file_bpp,file_bpp_ci95,mse_ci95,val_bce_nats,val_bit_accuracy,val_ece,parameters,train_images,optimizer_steps,train_seconds
n45000,0.5,0.265625,12.417713078872278,3726.5680224609373,0.13918600664478067,1.0,0.5095501708984375,0.296875,"[0.265625, 0.265625]","[3433.4953806152344, 3983.1696314697265]",0.4886689429404214,0.7264418601989746,0.012222502110006429,161505,45000,64000,1844.304764999999
n45000,0.55,0.27390625,12.355755656691564,3780.1131103515627,0.13958346699416813,0.9992034912109375,0.5047007046017489,0.298515625,"[0.273671875, 0.27418066406249997]","[3494.2215286865235, 4047.7978787841794]",0.4886689429404214,0.7264418601989746,0.012222502110006429,161505,45000,64000,1844.304764999999
n45000,0.6,0.281953125,10.272315595612527,6107.293637695312,0.13756854845169106,0.9983758544921875,0.46980049995751155,0.305859375,"[0.28125, 0.28261816406249995]","[5357.461431030273, 6929.4444674072265]",0.4886689429404214,0.7264418601989746,0.012222502110006429,161505,45000,64000,1844.304764999999
n45000,0.65,0.29,10.211937526011807,6192.793637695312,0.13543418014293962,0.997330322265625,0.4693248455042943,0.3137890625,"[0.2885927734375, 0.2915234375]","[5452.164997924805, 6972.247752685546]",0.4886689429404214,0.7264418601989746,0.012222502110006429,161505,45000,64000,1844.304764999999
n45000,0.7,0.30390625,9.694140891592365,6976.960620117187,0.12821409807785308,0.995592041015625,0.4645881687958028,0.3277734375,"[0.3004287109375, 0.307421875]","[6131.935109985351, 7751.086666748046]",0.4886689429404214,0.7264418601989746,0.012222502110006429,161505,45000,64000,1844.304764999999
n45000,0.75,0.364453125,9.783560133064263,6834.77697265625,0.12778565957957727,0.9880401611328125,0.4644364206930421,0.3905859375,"[0.350193359375, 0.37902734375]","[6028.930740234375, 7641.055163085937]",0.4886689429404214,0.7264418601989746,0.012222502110006429,161505,45000,64000,1844.304764999999
n45000,0.8,0.8296875,9.292792755025728,7652.460302734375,0.1320499676872582,0.9299029541015625,0.46042572854373953,0.8851953125,"[0.732861328125, 0.9316875]","[6644.533786010743, 8607.32281628418]",0.4886689429404214,0.7264418601989746,0.012222502110006429,161505,45000,64000,1844.304764999999
n45000,0.85,3.103046875,10.038961038663253,6444.426235351562,0.1900251324749322,0.6457989501953125,0.40380898554642053,3.1976953125,"[2.7841767578125, 3.434189453125]","[5602.644327758789, 7309.839048339843]",0.4886689429404214,0.7264418601989746,0.012222502110006429,161505,45000,64000,1844.304764999999
n45000,0.9,5.10390625,12.597952950994246,3575.074248046875,0.41933267720160416,0.39566650390625,0.2626214790361892,4.958515625,"[4.8121826171875, 5.359349609375]","[2930.9094624023437, 4265.44153503418]",0.4886689429404214,0.7264418601989746,0.012222502110006429,161505,45000,64000,1844.304764999999
n45000,0.925,5.6585546875,14.070526514531792,2546.99275390625,0.5792970083691086,0.3263153076171875,0.21059414366811002,5.3021875,"[5.3930986328125, 5.910641601562499]","[1894.2229194335937, 3227.085393798828]",0.4886689429404214,0.7264418601989746,0.012222502110006429,161505,45000,64000,1844.304764999999
n45000,0.95,6.24875,16.121015480076753,1588.4692529296874,0.751651442802821,0.2525201416015625,0.15899538103444524,5.5779296875,"[6.0081474609375, 6.485416015625]","[1024.4116403808596, 2157.8553383789063]",0.4886689429404214,0.7264418601989746,0.012222502110006429,161505,45000,64000,1844.304764999999
n45000,0.975,7.0725390625,20.91711356251423,526.46439453125,0.9296489445275558,0.14958984375,0.0933991056273665,5.8535546875,"[6.906047851562501, 7.225009765625]","[228.72803637695313, 908.6008980712891]",0.4886689429404214,0.7264418601989746,0.012222502110006429,161505,45000,64000,1844.304764999999
n45000,0.99,7.9591796875,38.1158876563476,10.034404296875,0.9970904471197999,0.0387359619140625,0.0067281178602379265,6.0072265625,"[7.9232021484374995, 7.992515624999999]","[7.078761840820313, 13.425494750976561]",0.4886689429404214,0.7264418601989746,0.012222502110006429,161505,45000,64000,1844.304764999999
n45000,1.0,8.265625,,0.0,1.0,0.0,,6.0091796875,"[8.265625, 8.265625]","[0.0, 0.0]",0.4886689429404214,0.7264418601989746,0.012222502110006429,161505,45000,64000,1844.304764999999
