image_index,dataset_index,codec,quality,file_bytes,file_bpp,mse,psnr_db,ssim,lossless
9,31104,jpeg,10,396,3.09375,180.6396484375,25.562672815140015,0.8806545766132373,False
9,31104,jpeg,20,432,3.375,104.537109375,27.93809873905139,0.9192579668205642,False
9,31104,jpeg,35,471,3.6796875,68.7998046875,29.754931555286404,0.9556396208147578,False
9,31104,jpeg,50,499,3.8984375,51.1220703125,31.044719275507397,0.9648887236598901,False
9,31104,jpeg,75,580,4.53125,24.748046875,34.19539430926826,0.9838532016391017,False
9,31104,jpeg,90,722,5.640625,7.0048828125,39.67679486672285,0.9946467172679622,False
9,31104,jpeg,95,865,6.7578125,2.66015625,43.88173214266975,0.9978566056357089,False
9,31104,webp,1,106,0.828125,182.4580078125,25.51917432205538,0.8947935694020045,False
9,31104,webp,5,124,0.96875,127.2041015625,27.085792459608395,0.91548329245696,False
9,31104,webp,10,140,1.09375,98.927734375,28.177622978099347,0.9443811064384994,False
9,31104,webp,20,162,1.265625,67.052734375,29.866638680201834,0.9605930304934959,False
9,31104,webp,35,184,1.4375,43.1162109375,31.78439772910928,0.9729829065860868,False
9,31104,webp,50,210,1.640625,27.0224609375,33.81355463150495,0.9816453590913804,False
9,31104,webp,75,266,2.078125,15.9677734375,36.098359989700555,0.9896106122610903,False
9,31104,webp,90,416,3.25,3.71875,42.42683377795285,0.9975731702548909,False
9,31104,webp,95,524,4.09375,1.6943359375,45.840808383808294,0.9987031942405131,False
10,21349,raw,,1024,8.0,0.0,,1.0,True
10,21349,zlib,,923,7.2109375,0.0,,1.0,True
10,21349,png,,871,6.8046875,0.0,,1.0,True
10,21349,jpeg,1,345,2.6953125,535.3779296875,20.84419896916689,0.38391701231255904,False
10,21349,jpeg,5,359,2.8046875,334.060546875,22.892551731263225,0.609379295145073,False
10,21349,jpeg,10,387,3.0234375,188.4462890625,25.37892771247568,0.7850696700390716,False
10,21349,jpeg,20,429,3.3515625,99.4755859375,28.153638549326352,0.873054820887045,False
10,21349,jpeg,35,463,3.6171875,67.1748046875,29.858739484834235,0.9144237868711573,False
10,21349,jpeg,50,497,3.8828125,53.8466796875,30.819214320241493,0.93784794018766,False
10,21349,jpeg,75,578,4.515625,28.95703125,33.51326326058018,0.9642353477208568,False
10,21349,jpeg,90,741,5.7890625,9.83984375,38.20092158681647,0.9878300832660879,False
10,21349,jpeg,95,895,6.9921875,3.4560546875,42.744997548702074,0.99581706392706,False
10,21349,webp,1,94,0.734375,232.3974609375,24.468489820156098,0.6715264465124338,False
10,21349,webp,5,116,0.90625,163.0478515625,26.00765280269315,0.7931465837197841,False
10,21349,webp,10,134,1.046875,129.73046875,27.00038373558086,0.8386284729491555,False
10,21349,webp,20,166,1.296875,90.234375,28.577083462876157,0.903900049783592,False
10,21349,webp,35,212,1.65625,61.0927734375,30.270905195587595,0.9409488462757907,False
10,21349,webp,50,256,2.0,39.6435546875,32.14907771766288,0.9597009651218587,False
10,21349,webp,75,320,2.5,22.51171875,34.606717065984036,0.9782678892606855,False
10,21349,webp,90,506,3.953125,4.6455078125,41.4604716608782,0.9957734484120614,False
10,21349,webp,95,618,4.828125,2.0107421875,45.09723970889691,0.998018579487102,False
11,29116,raw,,1024,8.0,0.0,,1.0,True
11,29116,zlib,,993,7.7578125,0.0,,1.0,True
11,29116,png,,834,6.515625,0.0,,1.0,True
11,29116,jpeg,1,357,2.7890625,763.845703125,19.300747209427072,0.5841484374697969,False
11,29116,jpeg,5,376,2.9375,436.3359375,21.73259377046355,0.7192447658173534,False
11,29116,jpeg,10,406,3.171875,224.3857421875,24.620851031412553,0.8600571787547435,False
11,29116,jpeg,20,442,3.453125,127.048828125,27.091096973153917,0.9138803023847939,False
11,29116,jpeg,35,487,3.8046875,81.408203125,29.024121919440166,0.9496955224802607,False
11,29116,jpeg,50,520,4.0625,56.421875,30.616328464249708,0.9626098881286005,False
11,29116,jpeg,75,597,4.6640625,25.09765625,34.13447194176428,0.9830414520611629,False
11,29116,jpeg,90,747,5.8359375,7.423828125,39.42452452240637,0.9943839017580549,False
11,29116,jpeg,95,898,7.015625,2.794921875,43.66710688083964,0.9977770339339697,False
11,29116,webp,1,116,0.90625,252.806640625,24.102918832317883,0.8313178493071512,False
11,29116,webp,5,136,1.0625,186.189453125,25.43125284541294,0.8833271393260044,False
11,29116,webp,10,154,1.203125,147.701171875,26.43696419808994,0.9003318227427085,False
11,29116,webp,20,184,1.4375,91.228515625,28.529497523322547,0.9442133148811218,False
11,29116,webp,35,216,1.6875,55.599609375,30.680086204886933,0.9636505885691522,False
11,29116,webp,50,246,1.921875,37.7744140625,32.35882624359735,0.973259692785742,False
11,29116,webp,75,308,2.40625,19.0087890625,35.34125909453542,0.9861612842416666,False
11,29116,webp,90,464,3.625,4.5556640625,41.545286694252034,0.9962841119819082,False
11,29116,webp,95,580,4.53125,2.0791015625,44.952046560694,0.998240906847579,False
12,10772,raw,,1024,8.0,0.0,,1.0,True
12,10772,zlib,,1035,8.0859375,0.0,,1.0,True
12,10772,png,,968,7.5625,0.0,,1.0,True
12,10772,jpeg,1,365,2.8515625,1140.2548828125,17.56078420210155,0.6684321437739094,False
12,10772,jpeg,5,388,3.03125,605.7666015625,20.30775035675888,0.8183652607902677,False
12,10772,jpeg,10,424,3.3125,366.6396484375,22.488409330661764,0.8845912341979799,False
12,10772,jpeg,20,479,3.7421875,215.86328125,24.789015865592315,0.936237366049136,False
12,10772,jpeg,35,537,4.1953125,125.728515625,27.136465726481905,0.9678636115159762,False
12,10772,jpeg,50,582,4.546875,87.0126953125,28.734977392615907,0.975417751487373,False
12,10772,jpeg,75,677,5.2890625,45.61328125,31.53989045971592,0.9876127257520316,False
12,10772,jpeg,90,875,6.8359375,12.728515625,37.08302600848142,0.9966209660117585,False
12,10772,jpeg,95,1061,8.2890625,3.51953125,42.66595535200697,0.9990460802909212,False
12,10772,webp,1,160,1.25,295.328125,23.42775552742414,0.9183569054583226,False
12,10772,webp,5,186,1.453125,206.9462890625,24.972227177809444,0.9376967093448829,False
12,10772,webp,10,220,1.71875,147.73828125,26.435873186263073,0.9584351592141876,False
12,10772,webp,20,270,2.109375,89.677734375,28.60395733190725,0.9757968515864828,False
12,10772,webp,35,308,2.40625,62.296875,30.18614099189403,0.9816976407457132,False
12,10772,webp,50,352,2.75,38.568359375,32.26849195674118,0.9890481666424004,False
12,10772,webp,75,434,3.390625,20.4189453125,35.03047054889337,0.9942528781021557,False
12,10772,webp,90,662,5.171875,4.4130859375,41.6833797617652,0.9987181254669057,False
12,10772,webp,95,760,5.9375,2.1796875,44.74686127242181,0.9993869589318906,False
13,18332,raw,,1024,8.0,0.0,,1.0,True
13,18332,zlib,,1035,8.0859375,0.0,,1.0,True
13,18332,png,,948,7.40625,0.0,,1.0,True
13,18332,jpeg,1,356,2.78125,1082.240234375,17.787566852334297,0.4136167971007791,False
13,18332,jpeg,5,382,2.984375,566.0029296875,20.60261681722356,0.6875338091083031,False
13,18332,jpeg,10,418,3.265625,308.4619140625,23.23878811732312,0.7900743683850715,False
13,18332,jpeg,20,467,3.6484375,166.82421875,25.908212611731155,0.8832604427044903,False
